-0.0260,0.1812,0.9886,		-9.58,-20.94,3.78,	5.7308,		53.230181,-1.480921,	15:14:21:0
-0.0071,0.1763,0.8287,		1.34,-10.56,0.24,	5.7404,		53.230181,-1.480921,	15:14:21:0
-0.0618,0.1837,0.7545,		-9.52,2.81,-7.26,	5.7500,		53.230181,-1.480921,	15:14:21:0
-0.1302,0.1793,0.7039,		-4.03,5.07,-11.29,	5.7596,		53.230181,-1.480921,	15:14:21:0
-0.1475,0.2191,0.6735,		-2.50,1.71,-8.97,	5.7692,		53.230183,-1.480918,	15:14:21:20
-0.1611,0.1825,0.7493,		-4.88,5.86,-5.55,	5.7788,		53.230183,-1.480918,	15:14:21:20
-0.1804,0.2163,0.7815,		5.92,4.27,-4.33,	5.7885,		53.230183,-1.480918,	15:14:21:20
-0.2185,0.2158,0.8368,		-2.81,5.80,-6.59,	5.7981,		53.230183,-1.480918,	15:14:21:20
-0.2439,0.2107,0.9213,		-8.48,12.39,-5.00,	5.8077,		53.230183,-1.480918,	15:14:21:20
-0.2405,0.2079,1.0396,		-8.73,8.97,4.64,	5.8173,		53.230184,-1.480914,	15:14:21:40
-0.2068,0.1948,1.1621,		-10.07,-1.65,20.14,	5.8269,		53.230184,-1.480914,	15:14:21:40
-0.1752,0.1697,1.1617,		1.28,-6.29,23.44,	5.8365,		53.230184,-1.480914,	15:14:21:40
-0.1458,0.2836,1.2098,		-4.58,-5.31,18.98,	5.8462,		53.230184,-1.480914,	15:14:21:40
-0.1221,0.2395,1.4106,		-14.77,-47.85,54.99,	5.8558,		53.230184,-1.480914,	15:14:21:40
0.1139,0.1206,1.1338,		6.35,-41.99,49.68,	5.8654,		53.230184,-1.480914,	15:14:21:40
0.0162,0.1284,1.1085,		-12.45,3.85,7.81,	5.8750,		53.230185,-1.480911,	15:14:21:60
-0.0594,0.1124,1.0856,		-14.16,-2.99,10.01,	5.8846,		53.230185,-1.480911,	15:14:21:60
-0.0927,0.0885,0.8810,		3.48,-17.40,25.51,	5.8942,		53.230185,-1.480911,	15:14:21:60
-0.0674,0.0881,0.7272,		11.66,-0.61,17.52,	5.9038,		53.230185,-1.480911,	15:14:21:60
-0.1289,0.1310,0.6736,		4.88,13.61,8.00,	5.9135,		53.230185,-1.480911,	15:14:21:60
-0.1830,0.1447,0.7067,		2.87,8.73,-1.77,	5.9231,		53.230185,-1.480911,	15:14:21:60
-0.1926,0.1486,0.7380,		3.23,5.74,-0.79,	5.9327,		53.230185,-1.480907,	15:14:21:80
-0.1953,0.1558,0.8340,		5.62,8.42,3.17,	5.9423,		53.230185,-1.480907,	15:14:21:80
-0.2001,0.1863,0.8738,		8.67,7.02,1.46,	5.9519,		53.230185,-1.480907,	15:14:21:80
-0.1969,0.2350,0.9302,		9.95,14.10,-6.71,	5.9615,		53.230185,-1.480907,	15:14:21:80
-0.2422,0.2731,1.0065,		10.01,18.13,-12.70,	5.9712,		53.230185,-1.480907,	15:14:21:80
-0.1810,0.2603,1.0903,		9.03,0.18,-9.89,	5.9808,		53.230187,-1.480905,	15:14:22:0
-0.1523,0.2644,1.0863,		20.39,2.32,-20.32,	5.9904,		53.230187,-1.480905,	15:14:22:0
-0.2426,0.4363,0.9833,		31.68,5.68,-27.28,	6.0000,		53.230187,-1.480905,	15:14:22:0
-0.1393,0.3300,1.3116,		-19.78,-36.99,-5.37,	6.0096,		53.230187,-1.480905,	15:14:22:0
0.0419,0.1901,1.1555,		2.44,-27.10,-14.83,	6.0192,		53.230187,-1.480905,	15:14:22:0
-0.0557,0.3296,0.9987,		-2.50,1.46,-36.87,	6.0288,		53.230187,-1.480905,	15:14:22:0
-0.1019,0.2791,1.0831,		-20.32,-11.17,-13.79,	6.0385,		53.230189,-1.480902,	15:14:22:20
-0.0234,0.2014,0.9596,		-2.26,-26.61,-1.53,	6.0481,		53.230189,-1.480902,	15:14:22:20
-0.0559,0.1802,0.7776,		0.98,-11.78,-17.03,	6.0577,		53.230189,-1.480902,	15:14:22:20
-0.1097,0.1982,0.7126,		-8.36,3.72,-23.44,	6.0673,		53.230189,-1.480902,	15:14:22:20
-0.1497,0.1602,0.7373,		-9.40,5.86,-17.88,	6.0769,		53.230189,-1.480902,	15:14:22:20
-0.1541,0.1823,0.7422,		0.18,4.46,-18.80,	6.0865,		53.230189,-1.480902,	15:14:22:20
-0.1963,0.2269,0.7682,		-3.36,9.70,-18.62,	6.0962,		53.230190,-1.480900,	15:14:22:40
-0.2423,0.2296,0.8397,		-1.16,9.03,-11.35,	6.1058,		53.230190,-1.480900,	15:14:22:40
-0.2568,0.2616,0.8705,		-1.71,5.13,-7.69,	6.1154,		53.230190,-1.480900,	15:14:22:40
-0.2599,0.2526,1.0133,		-7.26,5.07,-2.56,	6.1250,		53.230190,-1.480900,	15:14:22:40
-0.2299,0.2391,1.0958,		2.50,-3.97,7.14,	6.1346,		53.230190,-1.480900,	15:14:22:40
-0.1781,0.2017,1.1263,		8.42,-6.16,6.65,	6.1442,		53.230190,-1.480900,	15:14:22:40
-0.1898,0.2007,1.0280,		15.81,18.13,-12.82,	6.1538,		53.230191,-1.480896,	15:14:22:60
-0.1863,0.3264,1.2362,		-4.09,18.55,-13.06,	6.1635,		53.230191,-1.480896,	15:14:22:60
-0.0972,0.1561,1.2733,		-3.78,-53.71,30.27,	6.1731,		53.230191,-1.480896,	15:14:22:60
0.0104,0.1777,0.9584,		18.74,-34.42,15.20,	6.1827,		53.230191,-1.480896,	15:14:22:60
-0.1016,0.1606,0.9869,		-31.31,6.84,-26.18,	6.1923,		53.230191,-1.480896,	15:14:22:60
-0.1577,0.0496,1.0402,		-33.57,-12.08,-7.32,	6.2019,		53.230191,-1.480892,	15:14:22:80
-0.1683,0.0286,0.8767,		13.31,-24.11,9.70,	6.2115,		53.230191,-1.480892,	15:14:22:80
-0.1388,0.0975,0.6538,		23.80,-6.96,1.46,	6.2212,		53.230191,-1.480892,	15:14:22:80
-0.1851,0.1105,0.6791,		2.01,10.93,-2.99,	6.2308,		53.230191,-1.480892,	15:14:22:80
-0.2085,0.1113,0.7438,		9.28,-1.10,2.08,	6.2404,		53.230191,-1.480892,	15:14:22:80
-0.2032,0.1487,0.7528,		16.97,-9.46,-1.59,	6.2500,		53.230191,-1.480892,	15:14:22:80
-0.2128,0.1689,0.7952,		10.13,-1.04,-5.43,	6.2596,		53.230191,-1.480888,	15:14:23:0
-0.2432,0.1704,0.9514,		5.19,5.80,-11.47,	6.2692,		53.230191,-1.480888,	15:14:23:0
-0.2595,0.2124,0.9882,		13.61,3.48,-13.24,	6.2788,		53.230191,-1.480888,	15:14:23:0
-0.2649,0.2521,1.0652,		14.16,2.99,-16.97,	6.2885,		53.230191,-1.480888,	15:14:23:0
-0.2084,0.2300,1.1338,		22.83,-3.78,-13.24,	6.2981,		53.230191,-1.480888,	15:14:23:0
-0.2887,0.3418,0.9628,		47.06,0.92,-22.52,	6.3077,		53.230191,-1.480888,	15:14:23:0
-0.2083,0.4237,1.2841,		-0.37,-8.73,-22.40,	6.3173,		53.230193,-1.480886,	15:14:23:20
-0.0707,0.2018,1.2852,		-16.91,-43.88,0.98,	6.3269,		53.230193,-1.480886,	15:14:23:20
-0.0402,0.3041,0.9683,		22.28,-7.51,-15.38,	6.3365,		53.230193,-1.480886,	15:14:23:20
-0.1273,0.3308,1.1031,		-30.76,-7.08,-19.17,	6.3462,		53.230193,-1.480886,	15:14:23:20
