-0.1550,0.0002,0.9781,	0.55,-4.33,-2.56,	20.3269		0.000000,0.000000,	15:30:5:40
-0.1556,0.0016,0.9796,	0.49,-4.39,-2.56,	20.3365		0.000000,0.000000,	15:30:5:40
-0.1565,-0.0004,0.9792,	0.49,-4.46,-2.50,	20.3462		0.000000,0.000000,	15:30:5:40
-0.1564,0.0002,0.9790,	0.55,-4.46,-2.50,	20.3558		0.000000,0.000000,	15:30:5:40
-0.1565,0.0005,0.9808,	0.55,-4.39,-2.62,	20.3654		0.000000,0.000000,	15:30:5:40
-0.1558,-0.0001,0.9789,	0.61,-4.39,-2.56,	20.3750		0.000000,0.000000,	15:30:5:60
-0.1558,0.0020,0.9775,	0.55,-4.46,-2.50,	20.3846		0.000000,0.000000,	15:30:5:60
-0.1565,0.0013,0.9781,	0.55,-4.33,-2.56,	20.3942		0.000000,0.000000,	15:30:5:60
-0.1570,-0.0006,0.9790,	0.55,-4.39,-2.50,	20.4038		0.000000,0.000000,	15:30:5:60
-0.1553,0.0005,0.9796,	0.55,-4.46,-2.50,	20.4135		0.000000,0.000000,	15:30:5:60
-0.1554,0.0001,0.9783,	0.55,-4.46,-2.56,	20.4231		0.000000,0.000000,	15:30:5:60
-0.1570,-0.0001,0.9822,	0.55,-4.39,-2.56,	20.4327		0.000000,0.000000,	15:30:5:80
-0.1558,-0.0010,0.9785,	0.49,-4.39,-2.56,	20.4423		0.000000,0.000000,	15:30:5:80
-0.1560,0.0001,0.9790,	0.55,-4.39,-2.56,	20.4519		0.000000,0.000000,	15:30:5:80
-0.1559,0.0009,0.9800,	0.49,-4.39,-2.56,	20.4615		0.000000,0.000000,	15:30:5:80
